,Age,Workclass,Education,Years of Education,Marital Status,Occupation,Role in Family,Race,Gender,Workhours per Week,Native Country,Income
0,90,2,5,9,4,2,1,4,0,40,1,0
1,82,2,5,9,4,3,1,4,0,18,1,0
2,66,2,11,10,4,0,4,2,0,40,1,0
3,54,2,8,4,0,6,4,4,0,40,1,0
4,41,2,11,10,2,9,3,4,0,40,1,0
5,34,2,5,9,0,7,4,4,0,45,1,0
6,38,2,6,6,2,0,4,4,1,40,1,0
7,74,0,3,16,3,9,2,4,0,20,1,1
8,68,0,5,9,0,9,1,4,0,40,1,0
9,41,2,11,10,3,2,4,4,1,60,1,1
10,45,2,3,16,0,9,4,2,0,35,1,1
11,38,3,10,15,3,9,1,4,1,45,1,1
12,52,2,2,13,4,7,1,4,0,20,1,1
13,32,2,7,14,2,3,1,4,1,55,1,1
14,51,2,3,16,3,9,1,4,1,40,1,1
15,46,2,10,15,0,9,1,4,1,40,1,1
16,45,2,6,7,0,13,1,4,1,76,1,1
17,57,2,7,14,0,3,1,4,1,50,1,1
18,22,2,0,12,3,5,1,2,1,40,1,1
19,34,2,2,13,2,11,1,4,1,50,1,1
20,37,2,2,13,3,3,1,4,1,40,1,1
21,29,2,6,7,2,11,1,4,0,42,1,0
22,61,2,5,9,0,11,4,4,0,25,1,0
23,51,2,11,10,1,13,0,4,1,40,1,0
24,61,2,5,9,1,2,0,4,1,32,1,0
25,21,2,1,11,1,2,0,4,1,40,1,0
26,33,2,4,2,1,2,1,4,1,32,0,0
27,49,2,4,3,1,7,0,4,1,40,0,0
28,37,3,6,6,3,13,1,4,1,50,1,1
29,38,2,6,6,3,9,1,4,1,90,1,1
30,23,2,11,10,2,7,1,4,1,40,1,1
31,59,3,6,6,4,3,4,4,0,50,1,1
32,52,2,10,15,0,3,1,4,1,60,1,1
33,51,2,2,13,0,3,1,4,1,50,1,1
34,60,3,5,9,3,3,1,2,1,50,1,1
35,63,0,3,16,0,3,1,4,0,60,1,1
36,53,2,5,9,3,11,1,4,1,48,1,1
37,51,2,10,15,3,9,1,4,0,50,1,1
38,37,3,3,16,3,9,1,4,0,60,1,1
39,54,2,7,14,0,9,1,4,0,40,1,1
40,44,2,2,13,0,3,4,4,1,50,1,1
41,43,2,7,14,0,3,4,4,0,40,1,1
42,51,2,11,10,0,0,4,4,0,40,1,1
43,43,2,7,14,0,9,4,4,0,40,1,1
44,71,2,5,9,1,2,0,4,1,15,1,0
45,48,2,2,13,1,11,4,4,0,70,1,1
46,71,2,5,9,1,11,0,4,1,52,1,0
47,73,3,5,9,1,4,0,1,1,40,0,0
48,68,2,11,10,1,0,5,4,0,40,1,0
49,67,2,11,10,1,0,0,4,1,40,1,0
50,40,3,10,15,3,9,1,4,1,45,1,1
51,50,2,5,9,4,11,1,4,0,72,1,1
52,51,0,1,11,0,12,1,4,1,39,1,1
53,42,2,11,10,3,3,1,4,0,40,1,1
54,39,2,7,14,3,11,1,4,1,45,1,1
55,32,2,2,13,3,3,2,4,1,50,1,1
56,53,2,11,10,2,2,1,4,1,45,1,1
57,40,0,11,10,3,10,1,4,1,40,1,1
