,Feature Name,Feature Type,Null Count,Null Percentage,Unique Data,Unique Data Sample
0,Age,int64,0,0.0,73,"[39, 30]"
1,Workclass,object,0,0.0,4,"['Private', 'Government']"
2,Final Weight,int64,0,0.0,21648,"[277886, 200479]"
3,Education,object,0,0.0,12,"['HS-grad', 'Some-college']"
4,Years of Education,int64,0,0.0,16,"[6, 12]"
5,Marital Status,object,0,0.0,5,"['Divorced', 'Single']"
6,Occupation,object,0,0.0,14,"['Armed-Forces', 'Machine-op-inspct']"
7,Role in Family,object,0,0.0,6,"['Other-relative', 'Own-child']"
8,Race,object,0,0.0,5,"['Amer-Indian-Eskimo', 'Asian-Pac-Islander']"
9,Gender,object,0,0.0,2,"['Male', 'Male']"
10,Capital Gain,int64,0,0.0,119,"[2202, 7896]"
11,Capital Loss,int64,0,0.0,92,"[2231, 2547]"
12,Workhours per Week,int64,0,0.0,94,"[55, 66]"
13,Native Country,object,0,0.0,2,"['Outside-US', 'Outside-US']"
14,Income,object,0,0.0,2,"['>50K', '>50K']"
